id,smiles,expt
molid550,COCCN,-6.55
molid551,C(C(Cl)(Cl)Cl)Cl,-1.43
molid552,CCC(=O)OC,-2.93
molid553,C1CCCC1,1.2
molid554,CCc1cccnc1,-4.59
molid555,Cc1cc(cnc1)C,-4.84
molid556,COCCO,-6.619999999999999
molid557,COC=O,-2.78
molid558,c1ccc2cc(ccc2c1)N,-7.47
molid559,Cc1c[nH]cn1,-10.27
molid560,Cc1cccc(c1)[N+](=O)[O-],-3.45
molid561,C(CCCl)CCl,-2.32
molid562,CC(=O)CO[N+](=O)[O-],-5.99
molid563,CC(C)(C)c1ccccc1,-0.44
molid564,CCCCCC(=O)OC,-2.49
molid565,C[C@@H](C(F)(F)F)O,-4.16
molid566,CCCCCBr,-0.1
molid567,CCCCCCC=C,1.92
molid568,CC1=CC(=O)[C@@H](CC1)C(C)C,-4.51
molid569,CC(C)O,-4.74
molid570,CCCCCCN,-3.95
molid571,C(CO[N+](=O)[O-])CO[N+](=O)[O-],-4.8
molid572,Cc1ccc(c(c1)C)O,-6.01
molid573,CCCCCO,-4.57
molid574,CCC[C@@H](C)O,-4.39
molid575,CCCC[C@@H](C)CC,2.97
molid576,C[C@@H](c1ccc(cc1)CC(C)C)C(=O)O,-7.0
molid577,CCOC(=O)C[C@H](C(=O)OCC)SP(=S)(OC)OC,-8.15
molid578,Cc1ccc(cc1C)O,-6.5
molid579,Cc1cc(ccc1Cl)O,-6.79
molid580,CCCC/C=C/C,1.68
molid581,CCCOCCC,-1.16
molid582,C[C@@H]1CC[C@H]([C@@H](C1)O)C(C)C,-3.2
molid583,CCNc1nc(nc(n1)SC)NC(C)(C)C,-6.68
molid584,CC(C)CC(C)(C)C,2.89
molid585,CCCCC(=O)CCCC,-2.64
molid586,CCCCN(CC)C(=O)SCCC,-3.64
molid587,CCCCCC=C,1.66
molid588,CC(C)OC=O,-2.02
molid589,CC(OC(=O)C)OC(=O)C,-4.97
molid590,c1c(c(=O)[nH]c(=O)[nH]1)Cl,-17.74
molid591,CC(=C)c1ccccc1,-1.24
molid592,CCC(C)C,2.38
molid593,CCCCO[N+](=O)[O-],-2.09
molid594,c1ccc(cc1)Br,-1.46
molid595,CC(Cl)(Cl)Cl,-0.19
molid596,CC(=C)[C@H]1CCC(=CC1)C=O,-4.09
molid597,Cc1ccccc1[N+](=O)[O-],-3.58
molid598,CCCCCCCI,0.27
molid599,c1cc2ccc3cccc4c3c2c(c1)cc4,-4.52
molid600,CCCCCCl,-0.1
molid601,CC(C)COC(=O)C,-2.36
molid602,CCC(C)(C)C,2.51
molid603,c1cc(ccc1N)N(=O)=O,-9.82
molid604,COC(=O)CC#N,-6.72
molid605,COc1ccc(cc1)N,-7.48
molid606,CC(C)Cc1ccccc1,0.16
molid607,c1ccc(cc1)c2c(cc(cc2Cl)Cl)Cl,-2.16
molid608,CN,-4.55
molid609,c1ccc(c(c1)O)Cl,-4.55
molid610,c1ccc2c(c1)C(=O)c3ccc(cc3C2=O)N,-11.53
molid611,C(=C\Cl)\Cl,-1.17
molid612,CCCCC(=O)C,-3.28
molid613,C(CO[N+](=O)[O-])O[N+](=O)[O-],-5.73
molid614,c1ccc(c(c1)O)F,-5.29
molid615,Cc1c(nc(nc1OC(=O)N(C)C)N(C)C)C,-9.41
molid616,C=Cc1ccccc1,-1.24
molid617,CCOP(=O)(OCC)OCC,-7.5
molid618,C(C(F)(F)F)O,-4.31
molid619,CCCCOC[C@H](C)O,-5.73
molid620,CCCO,-4.85
molid621,Cc1ccccc1C,-0.9
molid622,CC(C)(C)C,2.51
molid623,CCCC#C,0.01
molid624,c1ccc2c(c1)C(=O)NC2=O,-9.61
molid625,CCCCI,-0.25
molid626,Cc1ccc(cc1)O,-6.13
molid627,CC(C)I,-0.46
molid628,COc1ccccc1O,-5.94
molid629,C1CC=CC1,0.56
molid630,C[C@H](C(F)(F)F)O,-4.2
molid631,CCCN,-4.39
molid632,c1ccc(c(c1)[N+](=O)[O-])O,-4.58
molid633,Cc1cccc2c1cccc2,-2.44
molid634,c1(c(c(c(c(c1Cl)Cl)Cl)Cl)Cl)Cl,-2.33
molid635,CCCCC/C=C/C=O,-3.43
molid636,CCCCCCC#C,0.71
molid637,CCOP(=S)(OCC)Oc1cc(nc(n1)C(C)C)C,-6.48
molid638,CCCCCCCC(=O)OC,-2.04
molid639,C1CCNC1,-5.48
molid640,c1cc(ccc1C=O)O,-8.83
molid641,CCCCCCCCl,0.29
molid642,C1COCCO1,-5.06
