compound,CAS NO.,Status,flashPoint,Predicted,RNF,1X,Qmax,DPSA2,IB,δtot2,smiles,id
Trisilane,7783-26-8,Training,0.0,-43.60999999999999,0.0,1.41,0.11,96.04,0.01,-1.31,[SiH3][SiH2][SiH3],molid154
Trichlorononylsilane,5283-67-0,Training,114.0,110.09000000000003,0.0,6.06,0.28,299.43,0.0,-15.09,ClC(CCCCCCCC[SiH3])(Cl)Cl,molid155
Dichloroethylsilane,1789-58-8,Training,-9.399999999999975,15.180000000000007,0.0,2.27,0.23,92.24,0.01,-14.65,ClC(C[SiH3])Cl,molid156
Trichloro(dichlorophenyl)silane,27137-85-5,Training,146.0,142.64000000000004,0.0,5.41,0.28,211.22,0.0,-28.42,Cl[Si](C1=C(C(=CC=C1)Cl)Cl)(Cl)Cl,molid157
Tris(trimethylsilyl)silane,1873-77-4,Training,55.0,61.94,0.0,5.37,0.14,274.22,0.0,-2.47,C[Si](C)(C)[SiH]([Si](C)(C)C)[Si](C)(C)C,molid158
Tris(trimethylsiloxy)silane,1873-89-8,Training,50.0,34.73000000000002,0.0,5.37,0.03,336.3,0.0,7.1,C[Si](O[SiH](O[Si](C)(C)C)O[Si](C)(C)C)(C)C,molid159
Hexadecyltrichlorosilane,5894-60-0,Training,154.0,173.95000000000005,0.0,9.56,0.28,558.53,0.0,-12.25,C(CCCCCCCCCCCCCCC)[Si](Cl)(Cl)Cl,molid160
Dichlorosilane,4109-96-0,Training,-36.999999999999964,-39.64999999999998,0.0,1.41,0.07,34.74,0.02,-7.62,Cl[SiH2]Cl,molid161
Dimethyldichlorosilane,75-78-5,Test,-16.0,1.4000000000000343,0.0,2.0,0.03,48.02,0.01,-6.5,C[Si](Cl)(Cl)C,molid162
Bromomethyldimethylchlorosilane,16532-02-8,Test,41.0,23.129999999999995,0.0,2.56,0.04,70.73,0.0,-6.79,BrC[Si](Cl)(C)C,molid163
Trimethylsilane,993-07-7,Test,-68.99999999999997,-60.059999999999974,0.0,1.73,0.02,42.66,0.01,3.51,C[SiH](C)C,molid164
Dimethylvinylchlorosilane,1719-58-0,Test,-5.0,7.129999999999996,0.0,2.56,0.03,58.87,0.0,-3.05,CC(=C[SiH2]Cl)C,molid165
"1,3-Dichlorotetramethyldisiloxane",2401-73-2,Test,15.0,40.51000000000005,0.0,3.71,0.03,136.15,0.0,-3.6,Cl[Si](O[Si](Cl)(C)C)(C)C,molid166
"1,1,3,3-Tetramethyldisiloxane",3277-26-7,Test,-21.999999999999968,-11.209999999999981,0.0,3.13,0.04,119.52,0.0,6.69,C[SiH](O[SiH](C)C)C,molid167
Tetramethyldisilazane,15933-59-2,Test,11.0,-9.599999999999966,0.0,3.13,0.05,118.72,0.0,6.02,CN([Si](C)(C)C)[SiH3],molid168
Allyl Dimethylchlorosilane,4028-23-3,Test,5.0,23.01000000000005,0.0,3.06,0.02,74.49,0.0,-2.84,C(C=C)[Si](Cl)(C)C,molid169
sec-Amyltrichlorosilane,,Test,30.0,58.91000000000002,0.0,3.92,0.05,103.85,0.0,-7.38,C(C)(CCC)[Si](Cl)(Cl)Cl,molid170
n-Butylmethyldichlorosilane,18147-23-4,Test,30.0,47.450000000000045,0.0,3.56,0.03,89.48,0.0,-6.15,C(CCC)[Si](Cl)(Cl)C,molid171
Bis(dimethylamino)methylsilane,22705-33-5,Test,-3.0,-1.589999999999975,0.0,3.55,0.04,128.15,0.0,6.91,CN(C)C(N(C)C)[SiH3],molid172
Phenyltrichlorosilane,98-13-5,Test,91.0,78.34000000000003,0.0,4.61,0.06,77.87,0.0,-7.65,C1(=CC=CC=C1)[Si](Cl)(Cl)Cl,molid173
Phenyl trifluorosilane,368-47-8,Test,-5.0,-17.23999999999998,0.2,4.61,0.12,102.3,0.0,-6.71,C1(=CC=CC=C1)[Si](F)(F)F,molid174
Dimethyldiacetoxysilane,4774-73-6,Test,37.0,45.23000000000002,0.0,4.83,0.08,197.83,0.0,1.07,C[Si](OC(C)=O)(OC(C)=O)C,molid175
1-Trimethylsilylpropyne,6224-91-5,Test,-3.0,1.7600000000000475,0.0,3.06,0.02,67.68,0.0,3.71,C[Si](C#CC)(C)C,molid176
Vinyldimethylethoxysilane,5356-83-2,Test,4.0,10.740000000000007,0.0,3.62,0.03,109.71,0.0,4.24,C(=C)[Si](OCC)(C)C,molid177
Allyloxytrimethylsilane,18146-00-4,Test,0.0,13.710000000000036,0.0,3.56,0.03,115.09,0.0,2.97,C(C=C)O[Si](C)(C)C,molid178
Allyltrimethoxysilane,2551-83-9,Test,46.0,35.010000000000055,0.0,4.74,0.04,189.22,0.0,4.34,C(C=C)[Si](OC)(OC)OC,molid179
3-Chloropropyltrimethoxysilane,2530-87-2,Test,75.0,59.670000000000016,0.0,5.24,0.04,237.73,0.0,0.37,ClCCC[Si](OC)(OC)OC,molid180
n-Propyltrimethoxysilane,1067-25-0,Test,25.0,30.51000000000005,0.0,4.74,0.04,199.05,0.0,5.46,C(CC)[Si](OC)(OC)OC,molid181
Hexamethyldisiloxane,107-46-0,Test,-3.0,3.8600000000000136,0.0,3.71,0.02,152.48,0.0,7.07,C[Si](O[Si](C)(C)C)(C)C,molid182
Hexamethyldisilane,1450-14-2,Test,-1.0,1.9500000000000453,0.0,3.25,0.02,108.97,0.0,4.7,C[Si]([Si](C)(C)C)(C)C,molid183
Vinyldiethylmethylsilane,18292-29-0,Test,15.0,16.980000000000018,0.0,3.68,0.02,88.23,0.0,3.49,C(=C)[Si](C)(CC)CC,molid184
Isobutyltrimethoxysilane,18395-30-7,Test,42.0,42.56,0.0,5.1,0.04,221.41,0.0,4.51,C(C(C)C)[Si](OC)(OC)OC,molid185
Phenyldimethylchlorosilane,768-33-2,Test,61.0,61.87000000000001,0.0,4.61,0.02,94.59,0.0,-2.18,C1(=CC=CC=C1)[Si](Cl)(C)C,molid186
"(N,N-Dimethylamino)triethylsilane",3550-35-4,Test,26.0,33.700000000000045,0.0,4.63,0.02,142.4,0.0,5.36,CN(C)[Si](CC)(CC)CC,molid187
Vinyltriacetoxysilane,8/9/4130,Test,88.0,89.07000000000004,0.0,6.81,0.09,312.0,0.0,1.02,C(=C)[Si](OC(C)=O)(OC(C)=O)OC(C)=O,molid188
Ethyltriacetoxysilane,17689-77-9,Test,104.0,89.71000000000004,0.0,6.81,0.09,329.32,0.0,0.47,C(C)[Si](OC(C)=O)(OC(C)=O)OC(C)=O,molid189
3-(Trimethylsilyl)cyclopentene,14579-08-9,Test,26.0,24.70000000000005,0.0,4.11,0.02,104.79,0.0,4.76,C[Si](C1C=CCC1)(C)C,molid190
Vinyltriethylsilane,1112-54-5,Test,25.0,29.830000000000037,0.0,4.24,0.02,101.84,0.0,4.1,C(=C)[Si](CC)(CC)CC,molid191
n-Octylsilane,871-92-1,Test,36.0,38.710000000000036,0.0,4.41,0.02,132.17,0.0,2.83,C(CCCCCCC)[SiH3],molid192
Methyl phenyldimethoxysilane,3027-21-2,Test,76.0,63.960000000000036,0.0,5.73,0.03,171.0,0.0,4.19,C[Si](OC)(OC)C1=CC=CC=C1,molid193
2-Cyanoethyltriethoxysilane,919-31-3,Test,86.0,86.90000000000003,0.0,6.74,0.04,284.18,0.0,3.07,C(#N)CC[Si](OCC)(OCC)OCC,molid194
3-Glycidoxypropyltrimethoxysilane,2530-83-8,Test,110.0,87.32000000000004,0.0,7.26,0.04,418.76,0.0,4.11,C(C1CO1)OCCC[Si](OC)(OC)OC,molid195
Di-t-butylmethylchlorosilane,70892-81-8,Test,69.0,51.170000000000016,0.0,4.5,0.02,130.26,0.0,-0.39,C(C)(C)(C)[Si](Cl)(C)C(C)(C)C,molid196
Tri-n-propylchlorosilane,995-25-5,Test,76.0,64.82000000000005,0.0,5.18,0.02,148.3,0.0,0.51,C(CC)[Si](Cl)(CCC)CCC,molid197
(Diisopropylamino)trimethylsilane,17425-88-6,Test,28.0,38.09000000000003,0.0,4.76,0.02,152.93,0.0,4.94,C(C)(C)N(C(C)C)[Si](C)(C)C,molid198
1-Chlorononamethyltetrasiloxane,17905-99-6,Test,74.0,65.67000000000002,0.0,7.12,0.03,370.98,0.0,10.85,Cl[Si](O[Si](O[Si](O[Si](C)(C)C)(C)C)(C)C)(C)C,molid199
Tristrimethylsiloxymethylsilane,17928-28-8,Test,63.0,67.87,0.0,7.12,0.03,629.95,0.0,4.74,C[Si](OC(O[Si](C)(C)C)(O[Si](C)(C)C)[SiH3])(C)C,molid200
Diphenylmethylsilane,776-76-1,Test,120.0,100.99,0.0,6.88,0.03,126.27,0.0,3.45,C1(=CC=CC=C1)C(C1=CC=CC=C1)[SiH3],molid201
Trimethyl[(1-methylethenyl)oxy]silane,1833-53-0,Test,-1.0,1.8600000000000136,0.0,3.42,0.19,130.51,0.0,0.95,C[Si](OC(=C)C)(C)C,molid202
"Dichloromethyl-3,3,3-trifluoropropylsilane",675-62-7,Test,15.0,29.780000000000033,0.18,4.21,0.24,226.82,0.0,-25.56,ClC(Cl)[SiH2]CCC(F)(F)F,molid203
[2-(chloromethoxy)ethyl]trimethylsilane,76513-69-4,Test,46.0,42.890000000000036,0.0,4.06,0.16,179.98,0.0,-5.7,ClCOCC[Si](C)(C)C,molid204
Iodotrimethylsilane,16029-98-4,Test,15.0,-12.810000000000002,0.0,2.0,0.16,62.13,0.0,-4.12,I[Si](C)(C)C,molid205
Triphenylsilane,789-25-3,Test,143.20000000000005,157.26000000000005,0.0,9.45,0.17,229.58,0.0,1.24,C1(=CC=CC=C1)[SiH](C1=CC=CC=C1)C1=CC=CC=C1,molid206
[3-(mercapto)propyl]triethoxysilane,14814-09-6,Test,87.78000000000004,81.79000000000002,0.0,6.74,0.04,316.74,0.0,4.03,SCCC[Si](OCC)(OCC)OCC,molid207
Hexadecamethylheptasiloxane,541-01-5,Test,133.0,127.76000000000003,0.0,12.24,0.03,1143.48,0.0,15.94,C[Si](O[Si](O[Si](O[Si](O[Si](O[Si](O[Si](C)(C)C)(C)C)(C)C)(C)C)(C)C)(C)C)(C)C,molid208
Gamma-aminopropylethoxysilane,919-30-2,Test,96.11,67.53000000000003,0.0,6.74,0.04,318.09,0.0,7.95,NCCC[SiH2]OCC,molid209
Dichlorodiethylsilane,1719-53-5,Test,24.0,33.34000000000003,0.0,3.12,0.03,69.36,0.0,-5.82,Cl[Si](CC)(CC)Cl,molid210
Dimethylchlorosilane,1066-35-9,Test,-27.999999999999968,-26.499999999999968,0.0,1.73,0.05,45.4,0.01,-3.6,C[SiH](Cl)C,molid211
